N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"63,300","1,300",-2.01%,100,"3,778,872","5,969,783",50.43,"19,146,472",10.27,13.92,
2,LG에너지솔루션,"510,000","4,000",+0.79%,500,"1,193,400","234,000",5.20,"1,597,843",207.82,10.68,
3,SK하이닉스,"90,700",800,-0.87%,"5,000","660,298","728,002",50.73,"2,440,123",7.12,16.84,
4,삼성바이오로직스,"803,000","6,000",-0.74%,"2,500","571,527","71,174",10.72,"116,234",109.01,8.21,
5,LG화학,"683,000","2,000",-0.29%,"5,000","482,146","70,592",48.51,"235,874",24.03,18.47,
6,삼성SDI,"687,000",0,0.00%,"5,000","472,412","68,765",47.69,"284,497",28.17,8.45,
7,삼성전자우,"57,300",900,-1.55%,100,"471,514","822,887",72.08,"898,745",9.30,N/A,
8,현대차,"170,000","3,900",-2.24%,"5,000","363,236","213,668",29.29,"789,618",7.58,6.84,
9,NAVER,"207,000","4,500",-2.13%,100,"339,582","164,049",48.50,"1,161,326",36.47,106.72,
10,카카오,"63,500","1,200",-1.85%,100,"282,844","445,424",26.49,"1,781,758",18.21,17.10,
11,기아,"68,600",100,-0.15%,"5,000","278,079","405,363",36.10,"2,281,514",6.02,14.69,
12,POSCO홀딩스,"303,500","8,000",-2.57%,"5,000","256,674","84,571",52.11,"496,618",4.97,13.97,
13,KB금융,"57,300",400,-0.69%,"5,000","234,298","408,897",74.00,"1,131,700",5.07,9.80,
14,셀트리온,"163,700","3,100",-1.86%,"1,000","230,498","140,805",21.00,"305,049",40.34,16.04,
15,삼성물산,"118,600","2,100",-1.74%,100,"221,648","186,887",16.99,"187,965",12.53,5.40,
16,신한지주,"43,250","1,500",-3.35%,"5,000","220,049","508,785",63.54,"1,747,126",4.82,8.80,
17,현대모비스,"206,500","8,000",-3.73%,"5,000","194,699","94,285",35.64,"451,945",8.15,6.87,
18,포스코케미칼,"218,000","6,500",+3.07%,500,"168,870","77,463",7.60,"1,311,624",105.01,7.92,
19,LG전자,"100,400","2,300",+2.34%,"5,000","164,302","163,648",26.65,"1,292,846",11.48,6.32,
20,하나금융지주,"51,200",600,-1.16%,"5,000","151,503","295,903",71.83,"1,123,183",4.14,10.86,
21,SK이노베이션,"163,800","5,700",-3.36%,"5,000","151,459","92,466",26.47,"321,544",6.94,1.91,
22,SK,"199,800","5,700",-2.77%,200,"148,150","74,149",22.81,"112,038",4.33,10.19,
23,삼성생명,"70,900","1,700",-2.34%,500,"141,800","200,000",14.36,"265,909",20.01,4.01,
24,카카오뱅크,"27,850","1,050",-3.63%,"5,000","132,769","476,731",14.60,"1,711,580",55.48,4.91,
25,LG,"83,500",400,-0.48%,"5,000","131,346","157,301",36.27,"161,285",6.08,12.36,
26,한국전력,"20,150",150,-0.74%,"5,000","129,356","641,964",14.60,"860,327",-0.64,-7.99,
27,KT&G,"94,200",200,+0.21%,"5,000","129,330","137,292",43.90,"463,441",11.13,10.74,
28,LG생활건강,"748,000","11,000",-1.45%,"5,000","116,824","15,618",36.61,"73,024",27.47,16.65,
29,고려아연,"564,000","6,000",-1.05%,"5,000","112,028","19,863",23.36,"36,327",14.74,11.07,
30,삼성전기,"144,700","5,200",-3.47%,"5,000","108,082","74,694",30.49,"465,060",11.77,14.29,
31,HMM,"22,100","1,200",-5.15%,"5,000","108,078","489,039",10.56,"3,292,033",0.94,88.62,
32,두산에너빌리티,"16,610",20,+0.12%,"5,000","106,023","638,308",12.22,"3,750,396",332.20,10.67,
33,SK텔레콤,"47,050",800,-1.67%,100,"102,961","218,833",45.24,"758,996",10.89,13.63,
34,엔씨소프트,"463,000","12,500",-2.63%,500,"101,647","21,954",45.48,"96,103",17.19,12.62,
35,S-Oil,"89,700","1,400",-1.54%,"2,500","100,987","112,583",80.22,"263,116",4.83,21.76,
36,삼성에스디에스,"126,700","1,800",-1.40%,500,"98,038","77,378",13.63,"82,181",10.22,8.80,
37,우리금융지주,"13,440",40,-0.30%,"5,000","97,851","728,061",40.65,"3,008,865",3.21,10.59,
38,현대중공업,"110,000","3,300",-2.91%,"5,000","97,650","88,773",6.39,"155,891",-13.75,-14.87,
39,삼성화재,"201,000","8,500",-4.06%,500,"95,223","47,375",50.87,"118,336",8.78,7.09,
40,KT,"35,200",300,-0.85%,"5,000","91,911","261,112",43.16,"763,391",6.45,9.36,
41,대한항공,"24,300",500,-2.02%,"5,000","89,478","368,221",16.29,"1,238,032",4.84,11.60,
42,크래프톤,"180,200","3,700",-2.01%,100,"88,726","49,237",30.59,"148,987",13.15,17.86,
43,한화솔루션,"45,700",750,-1.61%,"5,000","87,414","191,278",26.12,"914,155",30.07,8.79,
44,카카오페이,"64,500","2,800",-4.16%,500,"85,787","133,003",43.43,"842,322",-325.76,-2.45,
45,아모레퍼시픽,"144,700","2,700",-1.83%,500,"84,639","58,493",25.53,"263,677",146.16,4.20,
46,기업은행,"10,420",170,-1.61%,"5,000","83,092","797,426",13.34,"601,650",3.18,9.21,
47,하이브,"188,900","5,100",-2.63%,500,"78,117","41,353",14.61,"217,926",28.55,6.83,
48,현대글로비스,"176,700","6,500",-3.55%,500,"66,262","37,500",47.86,"135,627",6.10,14.41,
49,LG이노텍,"275,500","8,500",-2.99%,"5,000","65,203","23,667",24.33,"234,713",6.28,30.94,
50,롯데케미칼,"176,000","6,300",-3.46%,"5,000","60,325","34,275",26.29,"173,362",28.78,9.87,
51,SK바이오사이언스,"77,000","3,300",-4.11%,500,"59,124","76,784",4.64,"320,899",21.18,38.08,
52,SK바이오팜,"75,000","1,200",-1.57%,500,"58,735","78,313",6.58,"65,383",-121.16,15.75,
53,메리츠화재,"51,600",0,0.00%,500,"57,330","111,104",11.18,0,6.85,26.12,
54,F&F,"148,300","1,300",+0.88%,100,"56,809","38,307",12.77,"158,298",14.03,N/A,
55,KODEX 200,"32,660",525,-1.58%,0,"56,061","171,650",9.09,"4,198,990",N/A,N/A,
56,한국조선해양,"77,100","1,700",-2.16%,"5,000","54,566","70,773",20.23,"229,857",-8.52,-8.95,
57,메리츠금융지주,"42,650",900,-2.07%,500,"54,409","127,572",6.29,"510,274",5.16,22.33,
58,SK스퀘어,"37,550",150,-0.40%,100,"53,121","141,468",42.52,"348,426",3.24,N/A,
59,넷마블,"60,800",800,+1.33%,100,"52,260","85,954",22.41,"338,208",-17.50,4.29,
60,CJ제일제당,"345,500","7,000",-1.99%,"5,000","52,012","15,054",24.91,"59,115",8.49,10.76,
61,강원랜드,"23,800",100,-0.42%,500,"50,918","213,940",22.88,"439,338",53.36,-0.33,
62,한온시스템,"9,360",10,+0.11%,100,"49,964","533,800",16.46,"771,977",32.73,13.83,
63,LG디스플레이,"13,800",380,-2.68%,"5,000","49,379","357,816",19.41,"1,592,462",-4.95,9.68,
64,HD현대,"62,500","1,400",-2.19%,"1,000","49,371","78,993",18.72,"168,784",4.39,-1.99,
65,오리온,"123,700",900,-0.72%,500,"48,906","39,536",38.98,"71,440",16.12,12.75,
66,LG유플러스,"11,190",150,-1.32%,"5,000","48,857","436,611",38.17,"760,726",8.19,9.47,
67,맥쿼리인프라,"11,880",40,+0.34%,0,"48,096","404,846",13.01,"497,714",N/A,N/A,
68,SK아이이테크놀로지,"66,800","2,400",-3.47%,"1,000","47,627","71,298",8.55,"467,745",-98.96,5.57,
69,TIGER CD금리투자KIS(합성),"51,835",5,+0.01%,0,"47,574","91,780",0.00,"180,581",N/A,N/A,
70,삼성엔지니어링,"24,250",350,-1.42%,"5,000","47,530","196,000",42.34,"620,066",9.85,20.67,
71,DB손해보험,"66,300","2,800",-4.05%,500,"46,940","70,800",43.50,"145,891",4.76,13.38,
72,한국항공우주,"47,700",450,-0.93%,"5,000","46,496","97,475",25.05,"1,262,250",35.89,5.19,
73,현대제철,"34,750",950,-2.66%,"5,000","46,372","133,446",22.22,"422,637",2.85,8.54,
74,삼성중공업,"5,240",20,-0.38%,"1,000","46,112","880,000",16.61,"4,250,495",-6.52,-36.89,
75,금호석유,"146,600","2,800",-1.87%,"5,000","42,975","29,314",21.69,"56,457",4.17,47.76,
76,현대건설,"38,450",500,-1.28%,"5,000","42,816","111,356",25.05,"523,116",6.44,5.89,
77,미래에셋증권,"6,880",170,-2.41%,"5,000","42,334","615,316",13.09,"770,695",7.35,11.66,
78,GS,"45,050",900,-1.96%,"5,000","41,858","92,915",25.57,"118,832",1.92,15.55,
79,코웨이,"55,900",800,-1.41%,500,"41,254","73,800",61.63,"144,011",8.79,27.41,
80,포스코인터내셔널,"23,350",600,-2.51%,"5,000","41,078","175,923",6.22,"484,783",5.04,10.86,
81,유한양행,"53,000","1,100",-2.03%,"1,000","40,618","76,639",20.28,"223,754",55.21,5.45,
82,한국타이어앤테크놀로지,"32,750",950,-2.82%,500,"40,569","123,875",36.40,"189,627",5.58,7.69,
83,메리츠증권,"6,490",130,-1.96%,"1,000","39,916","615,041",14.49,"1,855,307",5.41,15.77,
84,한화에어로스페이스,"77,100",400,-0.52%,"5,000","39,036","50,630",25.58,"1,134,539",21.11,9.21,
85,SKC,"95,100","2,800",-2.86%,"5,000","36,013","37,868",14.26,"212,459",26.76,11.60,
86,두산밥캣,"35,600",0,0.00%,500,"35,689","100,249",29.69,"177,400",7.39,9.19,
87,삼성카드,"30,700",450,-1.44%,"5,000","35,569","115,859",6.44,"59,787",6.07,7.53,
88,한국금융지주,"63,100",400,-0.63%,"5,000","35,163","55,726",36.88,"152,960",4.42,27.12,
89,롯데지주,"32,600",750,-2.25%,200,"34,200","104,909",9.69,"110,397",19.52,4.61,
90,한미약품,"260,000","2,000",-0.76%,"2,500","32,662","12,562",16.37,"21,257",40.44,8.75,
91,KODEX KOFR금리액티브(합성),"101,965",15,+0.01%,0,"32,293","31,671",0.00,"48,150",N/A,N/A,
92,아모레G,"38,800",650,-1.65%,500,"31,994","82,458",10.03,"290,177",100.26,5.49,
